image,price,price_off,proc_name
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5721/5721702_sa.jpg;maxHeight=145;maxWidth=222,2199.99,regular,"Apple - MacBook Pro®  - 15"" Display - Intel Core i7 - 16 GB Memory - 256GB Flash Storage (Latest Model) - Space Gray"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6081/6081901_sa.jpg;maxHeight=145;maxWidth=222,849.99,regular,"HP - ENVY x360 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i5 - 12GB Memory - 1TB Hard Drive - Natural Silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6062/6062200_ra.jpg;maxHeight=145;maxWidth=222,249.99,onSale,"Lenovo - 2-in-1 11.6"" Touch-Screen Laptop - Intel Celeron - 2GB Memory - 64GB eMMC Flash Memory - Black"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5715/5715524_sa.jpg;maxHeight=145;maxWidth=222,299,regular,"Acer - R 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - White"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6077/6077500_sa.jpg;maxHeight=145;maxWidth=222,629.99,regular,"Asus - 2-in-1 14"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Sandblasted aluminum silver with chrome hinge"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6061/6061600_sa.jpg;maxHeight=145;maxWidth=222,849.99,regular,"Lenovo - Yoga 720 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Platinum Silver"
https://pisces.bbystatic.com//image2/BestBuy_US/store/ee/2017/com/misc/windows_mixed_reality_badge.jpg,1499.99,regular,"HP - Spectre x360 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Dark Ash Silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5721/5721721_sa.jpg;maxHeight=145;maxWidth=222,2599.99,regular,"Apple - MacBook Pro®  - 15"" Display - Intel Core i7 - 16 GB Memory - 512GB Flash Storage (Latest Model) - Space Gray"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6062/6062100_sa.jpg;maxHeight=145;maxWidth=222,399.99,regular,"Lenovo - 14"" Touch-Screen Laptop - Intel Pentium - 4GB Memory - 500GB Hard Drive - Black"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5733/5733411_sa.jpg;maxHeight=145;maxWidth=222,249,regular,"HP - 14"" Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Silver"
https://assets.bbystatic.com//lib-marketing-badge/dist/images/OnlyAtBestBuy-5691a1792c13f0f594ed4c1bbd4f1875.svg,499.99,regular,"HP - 2-in-1 14"" Touch-Screen Laptop - Intel Core i3 - 6GB Memory - 500GB Hard Drive - HP finish natural silver"
